game_name,price,link,description
Armored Core VI: Fires of Rubicon Launch Edition...,£34.99,https://www.simplygames.com//p/armored-core-vi-fires-of-rubicon-launch-edition-ps4,"DescriptionLaunch Edition Contents:•	Base Game.•	Art Cards: 3 Exclusive art cards depicting the world of Armored Core VI: Fires of Rubicon.•	Stickers: 3 Exclusive stickers featuring in-game emblem patterns.•	Poster: An exclusive poster representing an Armored Core.Armored Core VI: Fires of Rubicon combines FromSoftware’s longstanding expertise in mech games with their signature action gameplay to bring a brand-new, high octane experience to the series.In Armored Core VI: Fires of Rubicon, players will assemble their mech from a wide variety of parts and weaponry to soar freely through mission locales that redefine three-dimensional mobility. Face down overwhelming opposition by outgunning and overrunning your enemies with dynamic movement that makes full use of ranged and melee combat. Players can experience frenetic and fast-paced action that can only be truly realised with mechs.A mysterious new substance was discovered on the remote planet, Rubicon 3. As an energy source, this substance was expected to dramatically advance humanity’s technological and communications capabilities. Instead, the substance caused a catastrophe that engulfed the planet and the surrounding stars in flames and storms, forming a Burning Star System.Almost half a century later, the same substance resurfaced on Rubicon 3, a planet now contaminated and sealed off by the catastrophe.Extra-terrestrial corporations and resistance groups fight over control of the substance. The player infiltrates Rubicon as an independent mercenary and finds themselves in a struggle over the substance with the corporations and other factions.Features:•	Thrilling Boss Battles: Deploy a wide variety of offensive and defensive tactics at close and long range to take down powerful enemy bosses.•	Dynamic, Omni-Directional Battles: Pilot your mech in fast-paced, omni-directional battles, taking advantage of your mech’s mobility both on land and in the air to ensure victory.•	Customise Your Mech to Your Playstyle: Explore a breadth of playstyles and combat styles by customising your mech’s buildout between missions. Pick and equip your preferred parts via a robust customisation system that can dramatically alter your play strategy, manoeuvrability and battle style as the action intensifies."
Sonic Origins Plus...,£34.99  £24.99,https://www.simplygames.com//p/sonic-origins-plus-ps4,"Description16 CLASSIC TITLES, 1 TIMELESS COLLECTIONExperience the collected adventures of Sonic the Hedgehog in the newly remastered Sonic Origins Plus! With 16 legendary Sonic titles including 12 Game Gear games, new playable characters, modes, challenges, behind the scenes content, and more, this is the definitive way to play these classic games!PREMIUM PHYSICAL EDITIONThose who purchase the Physical Edition will also receive a retro-inspired reversible coversheet, and a 20-page artbook.CLASSIC SONIC RE-DEFINED IN WIDESCREEN HDExplore 4 classic remastered Sonic titles – Sonic the Hedgehog, Sonic 2, Sonic 3 & Knuckles, and Sonic CD in high-definition, with all-new opening and ending animations for each title!CLASSIC AND ANNIVERSARY MODESSpin Dash your way through numerous zones in Classic mode with the game’s original resolution and limited lives, or the new Anniversary Mode with unlimited lives in revamped widescreen HD.NEW PLAYABLE CHARACTERSPlay as Sonic, Tails, or Knuckles in Sonic the Hedgehog, Sonic the Hedgehog 2, Sonic 3 & Knuckles, and Sonic CD! AND for the first time ever, play as Amy Rose in these legendary classic titles!12 SONIC GAME GEAR TITLESExperience 12 beloved Sonic Game Gear titles on current generation platforms!"
Crash Team Rumble - Deluxe Edition...,£29.99,https://www.simplygames.com//p/crash-team-rumble---deluxe-edition-ps4,"Description""This Edition includes:- Crash Team Rumble™ for PS4™ / PS5™- Digital Proto Pack. Includes:-- 8 'Blocky' hero skins-- 'Pixelated' Shadow-- 'Get On My Level' In-Game Victory Music-- 'Blocky' Hat-- 'Blocky' Backpack-- 'Blocky' Score FX-- Unique BannerGet ready to dash, jump, slide and bounce into an all-new way to Crash.Crash Team Rumble™ takes Crash Bandicoot™ in a brand new direction, placing the series’ iconic heroes and villains into a 4v4 team-based competition. Players will duke it out across diverse and dangerous maps as both teams race to be the first team to collect and bank enough Wumpa fruit to claim victory! Rise as a hero, or feed your inner villain across a wild and N.Sane cast of characters, each with their own unique skills and abilities. Teamwork is integral to every match, as players must work together to battle the opposing team, defend their own Wumpa Bank and capture key points around the map to boost their score.There’s more to come for Crash Team Rumble™, with additional heroes, modes, maps, rewards and more coming soon!"""
The Lord of the Rings: Gollum...,£24.99,https://www.simplygames.com//p/the-lord-of-the-rings-gollum-ps4,"DescriptionAthletic and agile, sneaky and cunning. Driven by the desire to once again hold in his hands what he lost, Gollum is one of the most fascinating characters in the world of The Lord of the Rings™.He has seen things that others cannot imagine; he has survived things that others would not dare mention. Torn by his split personality, he can be vicious and villainous as Gollum, but social and cautious as Sméagol.While being vital to the story by J.R.R. Tolkien, many parts of Gollum’s quest have not been told in detail yet. In The Lord of the Rings™: Gollum™ you get to experience this story. From his time as a slave below the Dark Tower to his stay with the Elves of Mirkwood.Use stealth, agility, and cunning to survive and overcome what lies ahead. Climb, leap, and grapple your way past dangers or into advantageous spots.While Gollum might not be a fighter, it is not unlike him to assassinate a careless enemy when the chance presents itself – or dispose of them in more creative and villainous ways.The decisions you make and the way you play have a direct influence on Gollum’s personality: Always struggling between the two sides embodied by Gollum and Sméagol, it is up to you to decide whether the darker side of Gollum takes over or if there is a spark of reason left in what once was Sméagol. One mind, two egos - you decide!"
Minecraft Legends - Deluxe Edition...,£29.99,https://www.simplygames.com//p/minecraft-legends---deluxe-edition-ps4,"DescriptionUnite the Overworld!The piglins’ Nether corruption is spreading across the Overworld, scorching everything ittouches. Are you the hero who will protect this gentle land? Plan your strategy and face thepiglins in epic battles.–But be warned: they always fight back. Take on piglin bases by day anddefend your allies after dusk. Explore lush biomes filled with treasures and perils, meet newfriends, and reunite with familiar mobs. With the allays by your side, all that’s left to do is savethe world.Raise your banner high with the Deluxe Edition, featuring six additional in-game skins: onehero, four mounts, and an additional mount skin when it becomes available."
Resident Evil 4 Remake...,£49.99  £44.99,https://www.simplygames.com//p/resident-evil-4-remake-ps4,"DescriptionResident Evil™ 4 is a remake of the original Resident Evil 4 released in 2005. Reawakened for 2023, Resident Evil 4 preserves the essence of the original while using Capcom’s proprietary RE Engine to deliver modernized gameplay, a reimagined storyline, and vividly detailed graphics. Resident Evil 4 is scheduled to release on March 24, 2023 for PlayStation®5 (PS5™) console, Xbox Series X|S and PC via Steam."
WWE 2K23...,£42.99,https://www.simplygames.com//p/wwe-2k23-ps4,DescriptionProduct description coming soon....
Blood Bowl 3...,£19.99  £14.99,https://www.simplygames.com//p/blood-bowl-3--ps4,"DescriptionBrutal, crazy, tactical… this is BLOOD BOWL! The iconic death sport returns with the new video game of fantasy football faithfully using the latest board game rules and new content. Create your team, then crush, mulch and cheat your way to the top... leaving your opponents in the graveyard."
Neptunia: Sisters VS Sisters - Calendar Edition...,£44.99,https://www.simplygames.com//p/neptunia-sisters-vs-sisters---calendar-edition-ps4,"DescriptionIn Neptunia: Sisters VS Sisters, you play as the Goddess Candidates, led by Nepgear, who awaken from a two-year-long slumber to a Gamindustri that has been upended by a treacherous threat called the Trendi Phenomenon. While they've been sleeping, the citizens of Gamindustri have turned to using a new device called the rPhone as their main method of communication as they've been unable to leave their homes while monsters lurk outside.Now, work together with friends both new and old to prevent the total destruction of Gamindustri as we know it!FeaturesC-C-C-Combo Maker! – As you make your way around the lands of Gamindustri, you'll encounter a multitude of enemies - it's time to fight! Employ combos and chain your attacks together in real-time. Take control of the battlefield in a unique tactical action battle system!Get the Planeptune Look – Throughout the game you'll discover fun accessories to deck out and customize your party members. After completing the game for the first time, you can show off your style in the new Photo Mode!  You'll also unlock two BRAND NEW characters created by two legendary game developers - Higurashi from Ryukishi07 and Shanghai Alice from ZUN!Do You Hear the People Chirp? – In the wake of the devastation wrought by the Trendi Phenomenon, the vast majority of the population has turned to the rPhone for all manner of daily life, including communication. On your journey, connect to the Chirper social network to take on a variety of side quests put out by those in need and earn special rewards!Match Game '23 – On the battlefield you can have three party members out at a time. Match up your team members with a partner for stat increases and elemental bonuses. The stronger the bond, the better the bonus!"
Marsupilami: Hoobadventure! - Tropical Edition...,£24.99  £19.99,https://www.simplygames.com//p/marsupilami-hoobadventure---tropical-edition-ps4,"DescriptionDiscover the Marsupilamis as you have never seen them before in an adventure full of surprises!Punch, Twister and Hope are three Marsupilamis who live a peaceful life in Palombia. While the three companions open a cursed sarcophagus by playing with debris on a beach, they inadvertently release a mysterious ghost that puts a terrible curse on all animals. Fortunately for them, the Marsupilamis are immune. Our three heroes will have to go on an adventure and chase the ghost in order to ward off the spell.Features:3 different worlds.20+ levels.Adjustable difficulty for more challenge.Refined graphics, a colorful art style and immersive environments.A Chrono mode to break records.Discover and collect bonuses to unlock secret levels."
One Piece Odyssey...,£39.99,https://www.simplygames.com//p/one-piece-odyssey-ps4,"DescriptionJoin this brand-new RPG featuring new character and monster designs produced by Eiichiro Oda, the author of ONE PIECE. The game is also complemented by the beautiful music of Motoi Sakuraba, a composer well known for his various contributions to video games such as the Dark Souls and Tales of series.A broken Thousand Sunny… Scattered crew members… Luffy’s missing straw hat…During their voyage, the Straw Hats, led by Monkey D. Luffy are swallowed by a huge storm at sea. They end up on a mysterious island full of nature amidst the storm and become separated from each other. The crew sets out on a new adventurous journey filled with wonders of a raging nature, powerful enemies and strange encounters with island locals. Work together with Luffy and his crew to set sail once again!FeaturesA MYSTERIOUS ISLAND: Luffy decides to scout the island to meet up with his scattered crew members. They come across various mysterious ruins and never-before-seen monsters. Although excited to scout the island together, things soon take an unexpected turn. Discover and experience an original storyline!STRAW HATS AS ONE: Defeat new enemies, unravel mysteries and unearth a whole adventure with your favourite Straw Hats! In addition to Luffy, you can play as Zoro, Nami, Usopp, Sanji, Chopper, Robin, Frankie and Brook!RPG WITH A ONE PIECE TWIST: Experience quests and dungeons all with an authentic ONE PIECE twist. Enjoy what you love about RPGs but with your favorite characters and an original touch from the ONE PIECE universe."
New Joe & Mac: Caveman Ninja - T-Rex Edition...,£24.99  £19.99,https://www.simplygames.com//p/new-joe--mac-caveman-ninja---t-rex-edition-ps4,"DescriptionWelcome to the prehistoric jungle! Journey back in the distant Past, when “Rock & Roll” was just about rocks and “Fast food” was a dinner that you couldn’t catch. 2 cave dudes named Joe & Mac live in a peaceful and cool village. Cool it was, until a bogus bunch of Neanderthal snatched all the village’s women. It’s now up to Joe & Mac to save them all, and fight against deadly dinosaurs and carnivorous plants in this crazy and colourful action-platformer from the Jurassic times, with completely redesigned graphics! The HD version of this famous arcade game is still fun and quirky, but also longer, better, faster, and stronger… A BRAND NEW DESIGN: Experience a full and faithful remake of the arcade original game with new graphics, new sounds, and better control for an unprecedented experience. The T-Rex edition includes the base game, 2 sticker sheets, a 3D keychain and some trading cards!"
Crisis Core : Final Fantasy VII Reunion...,£34.99,https://www.simplygames.com//p/crisis-core--final-fantasy-vii-reunion-ps4,"DescriptionCRISIS CORE –FINAL FANTASY VII– REUNIONis a remaster of the original CRISIS CORE –FINAL FANTASY VII-, featuring a complete HD graphics overhaul, a remastered soundtrack, a reimagined UI, and an updated combat system.The story begins seven years before the events of FINAL FANTASY VII (1997) and follows Zack Fair, a young and ambitious Shinra SOLDIER operative. Zack is tasked with tracking down a missing SOLDIER 1st Class operative named Genesis Rhapsodos.But as his adventure unfolds, he discovers the dark secrets of Shinra’s experiments and the monsters they create. The game features a number of characters from the FINAL FANTASY VII franchise such as Cloud, Sephiroth, Aerith and others."
The House of the Dead - Limidead Edition...,£24.99  £19.99,https://www.simplygames.com//p/the-house-of-the-dead---limidead-edition-ps4,"DescriptionThe famous Zombie shooter is back in a full remake! Renew the spirit of Arcade from the nineties with the remake of this iconic shooter!A scientist and expert on the Human Genome Theory, Dr. Roy Curien, descends into insanity as he searches for a power that allows him to resurrect the dead. After he succeeds, one of the researchers named Sophie Richards manages to contact her AMS friends Thomas Rogan and Agent G for help. Their mission is to stop the mad scientist and rescue all the laboratory staff, by making their way through the mansion, while fending off hordes of zombies.Alone or with a friend, fight against zombies and nightmare creatures in this gory and uninhibited zombie shooter.The Limidead edition includes the base game, an exclusive lenticular box, 2 character stands and a sticker sheet."
Gungrave G.O.R.E - Day One Edition...,£36.95,https://www.simplygames.com//p/gungrave-gore---day-one-edition-ps4,"DescriptionGungrave G.O.R.E is a stylish third-person action shooter by South-Korean Studio IGGYMOB in which you take on the role of Grave, a gunslinger of resurrection and badass anti-hero of your dreams, mowing down tons of enemies in a gory ballet of bullets.  In the near future, the Seed, a dangerous alien drug re-surfaces and spreads all over the world. You are “Grave” a former Mafia hitman, killed, revived and turned into a one-man army, a Gunslinger of Resurrection devoid of emotions but obsessed with eradicating the Seed and protecting your adopted daughter, Mika.  Prepare for an epic quest across South-East Asia and exact your vengeance."
Doctor Who: Duo Bundle...,£24.99  £11.99,https://www.simplygames.com//p/doctor-who-duo-bundle-ps4,"DescriptionTWO DOCTORS, TWO THRILLING ADVENTURES.Come face to face with Weeping Angels, Cybermen, Daleks, and more! Join the Thirteenth Doctor (Jodie Whittaker) and Tenth Doctor (David Tennant) on an epicadventure in space and time in Doctor Who: The Edge of Reality, and team up with Petronella Osgood to solve a chilling found-phone mystery in Doctor Who: The Lonely Assassins.Doctor Who: The Edge of Reality – Deluxe Edition Key Features:ORIGINAL DOCTOR WHO STORY: Enter the Chaosverse, where reality itself is threatened by a series of time-breaking glitches, and partner with two formidable Doctors as you seek to uncover a deeper mystery.NEW NEMESIS REVEALED: Face classic Doctor Who monsters, including Daleks, Weeping Angels and Cybermen, and confront a terrifying new threat: the CyberReaper.THRILLING SCI-FI ADVENTURE: Now for non-VR platforms, Doctor Who: The Edge of Reality features new challenges, new locations and new characters (including the Tenth Doctor), with a reimagined and expanded story that builds on the previous game The Edge of Time.Doctor Who: The Edge of Reality - Deluxe Edition includes: Ninth Doctor’s Sonic Screwdriver, Tenth Doctor’s Sonic Screwdriver, Eleventh Doctor’s Sonic Screwdriver, Twelfth Doctor’s Sonic Screwdriver, Gallifreyan leather gloves, Twelfth Doctor's leather gloves, Cyberman gloves, and River Song's gloves.Doctor Who: The Lonely Assassins Key Features:ORIGINAL DOCTOR WHO STORY: Picking up where the iconic episode “Blink” left off, the Weeping Angels are back to unleash terror once again...PETRIFYING NEW NEMESIS: Confront an evil like never before. No phone is safe!AUTHENTIC CHARACTERS: Work alongside Petronella Osgood (played by Ingrid Oliver) to investigate mysterious events. Also features Finlay Robertson as Larry Nightingale and a special appearance by Jodie Whittaker as the voice of the Doctor.FOUND - PHONE MYSTERY: Search through messages, emails, videos, photographs and more to uncover clues, solve puzzles and reveal the truth."
Sonic Frontiers...,£39.99  £19.99,https://www.simplygames.com//p/sonic-frontiers-ps4,"DescriptionExperience Sonic like never before!Worlds are colliding in Sonic the Hedgehog’s newest high-speed adventure! In search of the missing Chaos emeralds, Sonic becomes stranded on an ancient island teeming with unusual creatures. Battle hordes of powerful enemies as you explore a breathtaking world of action, adventure, and mystery. Accelerate to new heights and experience the thrill of high-velocity, open-zone platforming freedom as you race across the five massive Starfall Islands. Jump into adventure, wield the power of the Ancients, and fight to stop these new mysterious foes. Welcome to the evolution of Sonic games!Experience All-New Open Zone PlatformingRace across five massive overworld islands brimming with dense forests, overflowing waterfalls, and sizzling desert landscapes, each with their own unique action-platforming challenges and hidden secrets to uncover.Unparalleled High-Speed FreedomAdventure across the Starfall Islands and see what each has to offer at the speed that only Sonic can deliver. Blaze a trail as you see fit and discover side quests, solve puzzles, scale enormous structures, go fishing, and encounter a friendly face or two along the way…Challenge Yourself In Cyber SpaceDiscover portals scattered across the island and venture into Cyber Space levels through portals scattered across the islands featuring signature 3D platforming at Sonic speeds, packed with challenges to put your skills to the test.Cyber-Powered CombatThe Starfall Islands are home to strange creatures Sonic has never encountered before. Use the all-new battle system and skill tree upgrades to fight strategically, combining moves such as dodges, parries, counters, combos, and the new Cyloop ability to take down mysterious foes and colossal titans.A New Adventure Full of Mystery and IntrigueBecome Sonic and journey to uncover the mysteries of the remains of an ancient civilization plagued by robotic hordes. With nothing but a handful of questions and a disembodied voice to guide you, set out to save your friends and the enigmatic inhabitants of the Starfall Islands from a colossal, mechanized threat."
Star Ocean: The Divine Force...,£29.99,https://www.simplygames.com//p/star-ocean-the-divine-force-ps4,"DescriptionWhen two heroes cross paths, the fate of the universe awakens.  On a routine transport mission, Raymond Lawrence's spaceship is attacked by the Pangalactic Federation and he crash-lands on an underdeveloped planet.  He then encounters Princess Laeticia, who is fighting to protect her homeland from an invading empire. Together, they set off on an adventure that will shake the foundations of the entire universe.  STAR OCEAN THE DIVINE FORCE features an original story with two individual narratives and many playable characters, a unique combat system, and the freedom to soar in the skies and explore planets.  Featuring a blend of sci-fi and fantasy, this fresh Action RPG has challenging yet thrilling battle experiences, with high-speed movement in 360-degrees!"
